Title,Amount,Category
lunch expense,973.72,Food
store expense,851.82,Shopping
gas expense,656.75,Transport
petrol expense,92.2,Transport
fuel expense,360.74,Transport
subway expense,683.51,Food
doctor expense,495.22,Healthcare
train expense,601.36,Transport
postpaid expense,321.89,Utilities
uber expense,113.97,Transport
train expense,611.12,Transport
pharmacy expense,926.22,Healthcare
mcdonalds expense,261.82,Food
theatre expense,63.49,Entertainment
metro expense,268.45,Transport
kfc expense,561.99,Food
broadband expense,728.08,Utilities
clinic expense,857.39,Healthcare
amazon expense,184.29,Shopping
clothes expense,535.62,Shopping
broadband expense,814.94,Utilities
prepaid expense,106.84,Utilities
bus expense,850.49,Transport
train expense,198.55,Transport
medicine expense,469.53,Healthcare
jeans expense,122.86,Shopping
theatre expense,105.01,Entertainment
zomato gold expense,499.71,Entertainment
train expense,729.53,Transport
mall expense,991.29,Shopping
pharmacy expense,649.4,Healthcare
health expense,767.65,Healthcare
clinic expense,813.64,Healthcare
ola expense,75.44,Transport
internet expense,600.04,Utilities
postpaid expense,524.41,Utilities
groceries expense,315.85,Food
mobile recharge expense,501.95,Utilities
uber expense,981.08,Transport
spotify expense,441.58,Entertainment
pharmacy expense,690.39,Healthcare
coffee expense,952.53,Food
wifi expense,391.78,Utilities
pizza expense,859.35,Food
coffee expense,374.39,Food
pharmacy expense,322.4,Healthcare
cab expense,479.91,Transport
taxi expense,217.63,Transport
netflix expense,553.04,Entertainment
kfc expense,103.25,Food
gas expense,51.53,Transport
clinic expense,155.35,Healthcare
music expense,411.1,Entertainment
ola expense,65.01,Transport
ola expense,507.4,Transport
cab expense,908,Transport
gas bill expense,56.02,Utilities
pubg expense,377.53,Entertainment
shoes expense,227.17,Shopping
hospital expense,210.69,Healthcare
syrup expense,421.24,Healthcare
medicine expense,284.55,Healthcare
prepaid expense,341.95,Utilities
petrol expense,82.52,Transport
gas bill expense,405.95,Utilities
bus expense,219.42,Transport
pubg expense,881.26,Entertainment
medicine expense,955.85,Healthcare
spotify expense,767.67,Entertainment
amazon expense,531.42,Shopping
shoes expense,325.4,Shopping
zomato gold expense,366.76,Entertainment
shopping expense,644.82,Shopping
ola expense,974.33,Transport
ola expense,571.53,Transport
mobile recharge expense,526.72,Utilities
store expense,859.6,Shopping
store expense,60.21,Shopping
shopping expense,67.86,Shopping
water expense,955.79,Utilities
checkup expense,121.93,Healthcare
jewelry expense,690.19,Shopping
mcdonalds expense,526.74,Food
clothes expense,396.33,Shopping
metro expense,940.27,Transport
doctor expense,476.83,Healthcare
subway expense,497.33,Food
mcdonalds expense,614.93,Food
shoes expense,419.58,Shopping
jewelry expense,326.62,Shopping
groceries expense,200.41,Food
coffee expense,863.24,Food
lunch expense,627.01,Food
zomato gold expense,601.6,Entertainment
fuel expense,606.94,Transport
cinema expense,815.79,Entertainment
pharmacy expense,523.04,Healthcare
syrup expense,676.18,Healthcare
spotify expense,60.76,Entertainment
restaurant expense,711.74,Food
subway expense,101.34,Food
appointment expense,68.31,Healthcare
lunch expense,802.2,Food
broadband expense,400.7,Utilities
game expense,220.65,Entertainment
zomato gold expense,543.15,Entertainment
appointment expense,740.91,Healthcare
kfc expense,472.15,Food
zomato gold expense,67.41,Entertainment
checkup expense,359.9,Healthcare
gas bill expense,881.04,Utilities
bus expense,74.61,Transport
netflix expense,530.55,Entertainment
restaurant expense,891.1,Food
prepaid expense,604.03,Utilities
mall expense,73.81,Shopping
internet expense,347.4,Utilities
ola expense,445.34,Transport
electricity expense,365.93,Utilities
snack expense,758.42,Food
medicine expense,446.15,Healthcare
theatre expense,967.12,Entertainment
ola expense,757.67,Transport
store expense,327.86,Shopping
restaurant expense,859.64,Food
flipkart expense,772.49,Shopping
shopping expense,746.13,Shopping
taxi expense,275.22,Transport
spotify expense,818.52,Entertainment
zomato gold expense,257.17,Entertainment
mall expense,724.26,Shopping
doctor expense,118.58,Healthcare
syrup expense,220.63,Healthcare
cinema expense,50.26,Entertainment
fuel expense,918.73,Transport
shopping expense,814.86,Shopping
zomato gold expense,947.42,Entertainment
postpaid expense,913.25,Utilities
game expense,303.38,Entertainment
amazon expense,167.84,Shopping
electricity expense,795.49,Utilities
gas bill expense,365.8,Utilities
hospital expense,256.53,Healthcare
broadband expense,461.57,Utilities
broadband expense,116.48,Utilities
restaurant expense,448.1,Food
electricity expense,280.69,Utilities
music expense,303.4,Entertainment
taxi expense,911.52,Transport
taxi expense,350.76,Transport
doctor expense,565.44,Healthcare
theatre expense,995.31,Entertainment
